title,reply
商标注册有什么相对禁止的条件,首先，第九条申请注册的商标，应当有显著特征，便于识别，并不得与他人在先取得的合法权利相冲突。其次，第十条下列标志不得作为商标使用：（1）同**人*共**的*家名称、*旗、*徽、军旗、勋章相同或者近似的，以及同*央*家*关*在地特定地点的名称或者标志性建筑物的名称、图形相同的；（2）同外*的*家名称、*旗、*徽、军旗相同或者近似的，但该*政府同意的除外；（3）同政府间*际组织的名称、旗帜、徽记相同或者近似的，但经该组织同意或者不易误导公众的除外；（4）与表明实施控制、予以保证的官方标志、检验印记相同或者近似的，但经授权的除外；（5）同“红十字”、“红新月”的名称、标志相同或者近似的；（6）带有*族歧视性的；（7）夸大宣传并带有欺骗性的；（8）有害于社会主义道德风尚或者有其他不良影响的；（9）地理标记：商标使用地理标记，而又非来自于该地区的违法。县级以上行政区划的地名或者公众知晓的外*地名，不得作为商标。1、地名具有其他含义或者作为集体商标；2、证明商标组成部分的除外；3、已经注册的使用地名的商标继续有效。再次，商标法规定（11条）下列标志不得作为商标注册：（1）仅有本商品的通用名称、图形、型号的；（2）仅仅直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点的；（3）缺乏显著特征的。前款*列标志经过使用取得显著特征，并便于识别的，可以作为商标注册。再次，商标法规定（12条）以三维标志申请注册商标的，仅由商品自身的性质产生的形状、为获得技术效果而需有的商品形状或者使商品具有实质性价值的形状，不得注册.最后，商标法规定（13条）就相同或者类似商品申请注册的商标是复制、摹仿或者翻译他人未在**注册的驰名商标，容易导致混淆的，不予注册并禁止使用。就不相同或者不相类似商品申请注册的商标是复制、摹仿或者翻译他人已经在**注册的驰名商标，误导公众，致使该驰名商标注册人的利益可能受到损害的，不予注册并禁止使用。
高利贷还不还不知如何是好。,没必要的，还没到官司这步，建议你跟家人把这事情说清楚，免得他们经常利用你家人威胁到你，最好的办法是把借款还清，从此和他们没有任何一个关系了，大家都安心。
公司破产孕妇怎么赔偿,按在本单位工作年限，每工作满一年补偿一个月工资就合法，能否有其他补偿，自己和单位协商《劳动合同法》第四十二条劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：（四）女职工在孕期、产期、哺乳期的；第四十四条有下列情形之一的，劳动合同终止：（一）劳动合同期满的；（二）劳动者开始依法享受基本养老保险待遇的；（三）劳动者死亡，或者被人民法院宣告死亡或者宣告失踪的；（四）用人单位被依法宣告破产的；（五）用人单位被吊销营业执照、责令关闭、撤销或者用人单位决定提前解散的；（六）法律、行政法规规定的其他情形。第四十六条有下列情形之一的，用人单位应当向劳动者支付经济补偿：（一）劳动者依照本法第三十八条规定解除劳动合同的；（二）用人单位依照本法第三十六条规定向劳动者提出解除劳动合同并与劳动者协商一致解除劳动合同的；（三）用人单位依照本法第四十条规定解除劳动合同的；（四）用人单位依照本法第四十一条第一款规定解除劳动合同的；（五）除用人单位维持或者提高劳动合同约定条件续订劳动合同，劳动者不同意续订的情形外，依照本法第四十四条第一项规定终止固定期限劳动合同的；（六）依照本法第四十四条第四项、第五项规定终止劳动合同的；（七）法律、行政法规规定的其他情形。第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。
"两个人打架,因为对方先打我,后来找着打他的最后对方叫来五六人把我的肋骨打断",去专业鉴定机构鉴定伤情，可以按照损害索赔；构成轻伤的可以追究刑事责任。
客户拖欠货款,可以收集证据，向法院起诉，由法院依法判决。判决后对方仍不执行的，可以申请强制执行。
到法院起诉一个人，要多少费用,"（一）财产案件根据诉讼请求的金额或者价额，按照下列比例分段累计交纳：1.不超过1万元的，每件交纳50元；2.超过1万元至10万元的部分，按照2.5%交纳；3.超过10万元至20万元的部分，按照2%交纳；4.超过20万元至50万元的部分，按照1.5%交纳；5.超过50万元至100万元的部分，按照1%交纳；6.超过100万元至200万元的部分，按照0.9%交纳；7.超过200万元至500万元的部分，按照0.8%交纳；8.超过500万元至1000万元的部分，按照0.7%交纳；9.超过1000万元至2000万元的部分，按照0.6%交纳；10.超过2000万元的部分，按照0.5%交纳。（二）非财产案件按照下列标准交纳：1.离婚案件每件交纳50元至300元。涉及财产分割，财产总额不超过20万元的，不另行交纳；超过20万元的部分，按照0.5%交纳。2.侵害姓名权、名称权、肖像权、名誉权、荣誉权以及其他人格权的案件，每件交纳100元至500元。涉及损害赔偿，赔偿金额不超过5万元的，不另行交纳；超过5万元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。3.其他非财产案件每件交纳50元至100元。（三）知识产权民事案件，没有争议金额或者价额的，每件交纳500元至1000元；有争议金额或者价额的，按照财产案件的标准交纳。（四）劳动争议案件每件交纳10元。（五）行政案件按照下列标准交纳：1.商标、专利、海事行政案件每件交纳100元；2.其他行政案件每件交纳50元。（六）当事人提出案件管辖权异议，异议不成立的，每件交纳50元至100元。省、自治区、直辖市人民政府可以结合本地实际情况在本条第（二）项、第（三）项、第（六）项规定的幅度内制定具体交纳标准。第十四条申请费分别按照下列标准交纳：（一）依法向人民法院申请执行人民法院发生法律效力的判决、裁定、调解书，仲裁机构依法作出的裁决和调解书，公证机关依法赋予强制执行效力的债权文书，申请承认和执行外国法院判决、裁定以及国外仲裁机构裁决的，按照下列标准交纳：1.没有执行金额或者价额的，每件交纳50元至500元。2.执行金额或者价额不超过1万元的，每件交纳50元；超过1万元至50万元的部分，按照1.5%交纳；超过50万元至500万元的部分，按照1%交纳；超过500万元至1000万元的部分，按照0.5%交纳；超过1000万元的部分,按照0.1%交纳。3.符合民事诉讼法第五十五条第四款规定，未参加登记的权利人向人民法院提起诉讼的，按照本项规定的标准交纳申请费，不再交纳案件受理费。（二）申请保全措施的，根据实际保全的财产数额按照下列标准交纳：财产数额不超过1000元或者不涉及财产数额的，每件交纳30元；超过1000元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。但是，当事人申请保全措施交纳的费用最多不超过5000元。（三）依法申请支付令的，比照财产案件受理费标准的1/3交纳。（四）依法申请公示催告的，每件交纳100元。（五）申请撤销仲裁裁决或者认定仲裁协议效力的，每件交纳400元。"
签了购房合同等于取得房屋产权吗,房屋产权转移有个过程。签合同、合同备案只是其中的部分环节，还有其他环节和内容。最终完成产权转移的标志是，购房人拿到了自己名下的房产证。
迷信诈骗团伙老板和骨干会被判刑多少年,诈骗公私财物，达到“数额特别巨大”起点或者有“其他特别严重情节”的，可以在十年至十二年有期徒刑幅度内确定量刑起点。依法应当判处无期徒刑的除外。具有下列情形之一的，可以增加相应刑罚量：（1）每增加三万五千元，增加一个月刑期；（2）具有“其他特别严重情节”的，每增加一种情形，增加六个月至二年刑期；（3）其他可以增加刑罚量的情形。《刑法》第二百六十六条【诈骗罪】诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金。
婚后买房，婆婆出了一半钱，离婚房怎么分,婚后购买的一般是属于夫妻共同财产的，离婚时均等分割的，婆婆出的一半的钱要看是赠予还是借给你们的。，
刑事案件，怎么收费，请律师都是有哪些费用,不同的案件，不同的律师，收费是不同的，关键是自己与律师的沟通和衔接。
我是个大车司机，老板拖欠工资我用什么方法能,可以先协商，协商不成的话可以申请劳动仲裁
交通事故对方主责我次责车辆修理费怎么算,车辆如果现在还没有修理的话，可以要求对方车辆驾驶人先行垫付你车修理费的七成（对方不肯，可以让交警协调）、要注意了，不管修理场还是4S店最好开具2张发票，一张七成、一张三成。对方缴了七成的修理费，把七成发票给对方，他自己联系自己保险索赔，你的三成发票联系自己保险公司索赔（好点的保险公司可以由保险先垫付）。
你好，花了别人偷来送给你的钱，在公安局画押教罚款会不会案底,你好，不会影响生活，没有受到治安处罚就不会留下案底，只是批评教育而已。
请问，父亲生前欠下债务要还吗,你继承遗产的话，有可能需要
起诉欠款人的可行法律流程,有律师接的。自己操作就麻烦一点首先，写好民事起诉状，网上搜格式。然后，去法院交诉状，一般是被告所在地基层法院。法院受理了就缴费。接下来等开庭通知。P.S.鄙人承接代书文书业务
公司拖欠工资打什么电话投诉才可以,如经劳动者催告，单位仍拒绝支付加班工资的，可向当地劳动监察部门申诉、控告（电话12###），也可以申请劳动仲裁。
结婚二+多年没在一起算是自动离婚不,不会，法律上没有自动离婚的规定。离婚只有2种方式，一是协议离婚，二是诉讼离婚。如果协议离婚，夫妻双方同意去*政部门办理离婚登记即可。如果双方不能达成一致，任何一方可以去法*诉讼离婚，法*判决离婚的依据就是看夫妻双方是否感情破裂，一般分居2年符合夫妻感情破裂的标准，很多法*会支持。《婚姻法》相关规定：1，我国《婚姻法》将协议离婚表述为双方自愿离婚。男女双方自愿离婚的，准予离婚。双方必须到婚姻登记机关申请离婚。婚姻登记机关查明双方确是自愿离婚并对子女和财产问题已有适当处理时，发给离婚证。2，起诉离婚在理论上又称为裁判离婚，指对夫妻一方或双方提出的离婚请求，由法*以裁判的方式决定是否准许的离婚方式。实践中主要表现为夫妻一方要求离婚而另一方不同意，或双方同意离婚但就财产分割问题及子女抚养问题达不成一致意见，一方先行向人*法*提起诉讼，由人*法*进行审理。《关于人*法*审理离婚案件如何认定夫妻感情确已破裂的若干具体意见》规定：因感情不和分居已满两年（原《意见》规定为三年，与现行婚姻法冲突），确无和好可能的，或者经人*法*判决不准离婚后又分居满一年，互不履行夫妻义务的。
钱站利息算高利贷吗？,在法律上认定的高利。贷是指超过银行同期基准利率的4倍，也就是产生法律纠纷时支持同期基准利率四倍以内的利率水平，超过银行同期基准利率的4倍，即为高利。贷，不受法律保护。因为不同期限的基准利率不同，高利，贷的法律认定还与期限相关。同期基准利率是指中央银行公布的基准利率，如一年期，基准利率为6%，4倍为24%，即超过24%为法律认定的高利，贷。就一年期来说，1####元，年利息不超过24%*1####=24##元不算高，利贷。
你好，在公安局的笔录上画了押，还教了罚款会不会有案底,你好，不会影响生活，笔录不是案底。没有受到治安处罚就不会留下案底，只是批评教育而已
假如房产证和户口本同时给租赁人办理营业执照会发生什么后果？,房产证只能作抵押用，不是本人去做抵押，没有法律效力。所以没什么风险。但是提供房产证复印件，给承租方办理营业执照，是商业租赁的惯例。为了避免出现不必要的麻烦，可以与租户签份协议，约定相关条款，避免风险，内容包括对方合约期满或中途经营不善，必须去注销已办理的营业执照等等，否则需承担违约责任，赔偿2-4个月租金。当然，在提供的房产证复印件可以注明：该复印件只作为办理公司登记使用
请问我是二婚，房子是婚前买的，上午办的结婚证，下午去加的老婆名字，这样算不算夫妻共同财产,加上对方的名字，视为赠予的，这样房子就属于是夫妻共同财产了的
是轻伤，他现在被拘留了还是拘留几天就放了,具体要警方的处理结果的，如果刑事拘留，可以办理取保候审，
如何区分贪污和受贿？,二者的区别表现在以下几方面：第一，贪污罪是行为人利用其在职务上或者因执行职务而主管、经管、经手本单位财物的便利条件，其犯罪手段包括侵吞、骗取、窃取或其他手段。在这里，行为人的职务可以是各种各样的，例如经济工作、政治工作、人事工作、文化教育工作等等，而不限于专门管钱管物的职务，如会计、出纳、保管职务。也就是说，只要是而且必须是因执行职务能够经手本单位财物，才具备了贪污的条件，例如，政工干部外出开会，虚报差旅费，骗取公款，即是贪污。但是，受贿可以利用任何对其他人或单位的利益具有制约力的职务，而与行为人是否主管、经管、经手本单位财物没有必然联系，例如，有的官员不经手财物，但靠卖官向他人索取财物，可以构成受贿罪。第二，贪污罪只能是行为人直接利用自己在职务范围内主管、经管、经手本单位财物的权力，而非法占有该财物。不在行为人职权范围内主管、经管、经手的财物，不可能成为其贪污的对象。当然，如果行为人与有关管理人员相勾结，通过后者利用职务之便共同占有上述财物，其可以构成贪污，但只能成为共犯，而不能独立构成贪污罪。但是，受贿罪则不仅可以直接利用本人职务范围内的权力对他人或单位某种利益的制约力，索取或收受他人或单位的财物，而且可以表现为不是直接利用本人职务范围内权力，而是利用本人的职权或地位对其他国家工作人员的制约或影响作用，通过其他国家工作人员的职务行为为请托人谋取不正当利益，本人从中向请托人索取或非法收受财物，通常称之为间接受贿或斡旋受贿。换言之，受贿罪有直接受贿和间接受贿之分，而贪污没有这样的区分。第三，贪污罪的实施只能在行为人任职期间，利用其职务便利实施。离职以后没有职务可以利用，不可能再直接实施贪污行为(与在职人员内外勾结共同贪污，另当别论)。当然，有的人可能知道自己即将离职，乘机侵吞一笔财物，暂时藏在单位某隐蔽处，待离职以后伺机取回。但是，这并不能看成是事后贪污，因为，其离职前已经占有了该财物，贪污已经既遂，取走赃物只是对赃物的处置过程，而不是贪污的实施行为。而受贿罪则可能在离职后继续实施并完成受贿行为，例如，行为人在职期间利用职务之便利为行贿人谋取了利益，在离职后才收受行贿人的财物。仍应以受贿论处。因为，收受财物是受贿行为的组成部分，只有收受了财物受贿罪才告完成。第四，从原则上讲，一切国家工作人员都有职权可以利用，但职务不同，权力大小不等，其对人、财、物、事所能产生的制约力的程度，也就会大不相同。对于贪污罪来说，不论职位高低，权力大小，只要行为人因职务关系有机会和条件经手单位财物，就同样具有直接非法占有单位财物的可能性。但是，对于受贿罪而言，行为人所直接追求和获取的是他人的财物，并且一般是以自己的职权或地位能够为他人谋取利益为交换条件的。这不仅反映出受贿人的职权对行贿人的请托事项具有很强的制约性，而且在一般情况下，如果行为人没有相当的职位和较大的权力是很难使得他人不得不向其行贿，以实现权钱交易目的的。第五，贪污罪是行为人利用自己在职务上主管、经管、经手本单位财物的便利，直接占有该财物，其犯罪手段和过程，一般比较简单，从着手实施占有行为到实际占有财物，可以在很短时间内即告完成，达到贪污既遂。但是，受贿罪除索贿外，非法收受他人财物，要以利用职务便利为他人谋取利益为必要条件，而后一行为也是受贿实行行为的一部分。
公司法人变更工程代建合同是否还有效,你好继续有效，法人变更不影响公司企业业务，不影响合同效力
带未满周岁孩子无经济来源的签订担保有效吗,签订担保合同跟个人是否有经济来源是无关的，但是担保人是需要承担连带责任的，你这样没有经济来源为什么要给别人担保呢，小心给自己招来不必要的麻烦
女方欠男方的钱，离婚协议书要不要写让她归还？,按法律说。只要结婚后的财产及钱财属夫妻共有，二人之间，并不存在谁借谁的钱。
购房合同丢了怎么办,一、购房合同没有做预售登记前如果是在做预售登记前购房者将合同丢失的话，只需将剩余的合同作废，和开发商重新签订一份合同。购房者需要支付的费用是一份合同的工本费。二、在购房合同做完预售登记，但没开始办理银行按揭前如果购房者丢失合同，所采取的措施是在报纸上刊登声明合同作废，到三个月期满后，拿着报纸去做预售登记的机关申请注销所签订的那份合同，然后和开发商重新签订一份合同，再去做预售登记。这期间购房者需要支付的费用包括刊登声明的费用，合同的工本费，新合同的印花税。三、在购房合同做完预售登记，已经办理银行按揭后如果购房者丢失合同，除需要办理第二种情况所办理的手续外，购房者还要和办理贷款的银行签订一份变更协议，并将新的合同放在银行质押，因为原先的购房合同已经注销了，换成新的合同，也就是说购房者和银行所签的借款合同里的合同号已经发生变化了。尽管购房合同里面的内容没有变化，但根据《合同法》规定，该借款合同已经发生变更，则需要和银行签变更协议。这期间购房者需要支付的费用和第二种情况基本相同。一般情况下，我们自己手上都只有一份合同，主要作用是在交房或者房产证下来之前办户口、办居住证用的。其余用来办房产证和按揭贷款的合同已经被开发商提前收走了，所以自己的那一份弄丢了是不会影响到按揭和办理房产证的。如果和开发商重新签订一份合同，不给你盖章的话，还有一个办法可以证明房子是你的，那就是找销售帮忙去复印一份购房合同，然后自己带上身份证去房管局打印一张备案表，也能证明这个房子是你买的。但是，如果要迁户口的话，必须要等产权证办下来，没合同原件和产权证办不了户口。
新房与效果图不一致可否退房,此种情况开发商应当承担一定的违约责任，但是尚未达到退房的条件，因为资料上标注的景观被遮挡属于部分违约。按照惯例，贺*生可向开发商提出换房或者一定的经济补偿，至于补偿数额，应根据该项目有景观资源的房源价格来计算差价。
公司有权没收手机吗？,根据《中华人民共和国民法通则》第七十五条第二款的规定公民的合法财产受法律保护，禁止任何组织或者个人侵占、哄抢、破坏或者非法查封、扣押、冻结、没收。因此，公司没收手机的行为是不合法的
通*亚*拖*工*工*,这种情况下，可以先与单位协商处理的，协商不成的话可以申请劳动仲裁的，
老板拖欠工资拒绝给押金怎么办,可以向当地的劳动部门投诉或者申请劳动仲裁的。
您好，我现在是监外执行期间，信用卡欠了6000千多4个月未还，被银行起诉了，现在还上还会被收监吗,民事纠纷不影响你的监外执行的
公司实行大小周，每天工作9小时，周六加班没有工资算违法吗,看你劳动合同怎么签的，如果签的是月薪，月工资包括加班费，这样做就不违法，如果没签或没写清楚，就违法。
警察借钱不还，我真的醉了。,建议直接收集欠钱不还的证据起诉解决的，法院判决后仍旧不执行的话，可以申请强制执行
商标第38类被撤销三年不使用需要提供什么证据材料,针对撤销注册商*连续三年停止使用申请的，建议商*注册人收到国*商*局限期举证通知书后，最好能委托专业的商*代理机构进行有效证据的收集和提交。一般来说，商*的使用证据具体集中于：（一）、商*用于商品、商品包装、容器、及相关交易文书上（如*牌、产品说明、手册、销售协议、票据等）；（二）服务商*使用证据表现方式包括（服务场所装饰、菜单、招贴、价目表、文件资料、服务协议等）；（三）用于广告宣传证据的表现形式包括广播、电视、杂志、报纸及广告牌等媒体广告宣传、展会资料、照片、主管部门批准文件等。商*注册人提供的以上证据应要求真实、有效、合法。注意因为是连续三年停止使用，所以注册人在提交证据时需要证明近三年连续使用的证据，之前的都属于无效证据，即便提交也不会被国*商*局采纳。
经营权与所有权有什么区别,所谓使用经营权，是就非所有人可以根据法律或合同，直接经营或使用他人所有之物，并取得因经营或使用而获取的利益之权利。使用经营权有以下特征：1、使用经营权的基础是占有，它是一种战占有支配权，从本质上看，它是对物的直接支配权，是使用经营人和所有其他非使用经营人之间的财产关系。2、其核心内容是从物本身获取利益或收益，取得物的使用价值。但使用经营权人不能对物作最终的处分，如出卖、赠与或其他转让行为，以至将其消灭。3、它可以依法律直接取得，也可以依合同取得。这里指的使用经营权只是合法的使用经营，并受法律保护。不包括非法的使用经营。4、使用经营权人享有和所有权人一样的对物的请求权。总之，使用经营权是独立于所有权的直接对物加以使用并获取利益的权利
公积金可以异地买房么,可以的，但是需要满足以下条件：申请条件：申请人按时、足额缴存的住房的公积金满半年以上的；申请人有稳定的经济收入和偿还贷款本息的能力；申请的人所购房的是自住的住房；夫妻的双方及其共同的借款人只能同时享受的一次本项贷款的。第1次的申请的贷款首付款不低于30％的，贷款的金额不超过本地房产的评估价格的60％了，且不超过所购的房屋价格的70％了；第2次的申请的贷款首付款不低于50％的，贷款金额不超过本地房产评估价格的60％，且不超过所购房屋价格的50％；两次以上不予贷款。所需要件贷款申请审批表；借款人身份证、户口簿、结婚证或未婚证明；如已婚，还需提供配偶身份证、户口簿、结婚证；如有共同借款人，需提供其身份证、关系证明（户口簿）、婚姻状况证明；借款人、共同借款人及配偶信用报告；已备案的异地商品房购房合同、首付款发票，本地本人名下可抵押房产证、评估报告，异地开发企业账户（银行名称及账号）。备注：上述资料需提供原件及复印件4份（信用报告无需复印，提供原件）审批程序：1、申请人领取填写公积金贷款审批表（此表可在公积金大厅领取，也可直接在淮*市住房公积金网站下载）；2、准备相关材料交至公积金管理核心贷款窗口由核心审批；3、领取通知书至房管局产权交易处办理抵押、担保手续；4、与贷款承办银行签订借款合同，由银行将贷款资金汇入异地开发企业账户；5、办理完毕，由银行通知开始还款。
关于三方协议解约问题,有些企业与学生签约的时候三方协议上有些会明确毁约金，但是通常不会让学生支付，如果让你支付，最好让校方就业中心，老师出面帮你解决，企业一般不会与校方闹僵，还指望着来年继续去你们学校招人呢。但是自己也要选择明确，尽量不要给自己、用人单位与学校造成麻烦。
第二百六十六条刑法，金额九万多，四个人平分，但金额全部退回，还得到对方谅解，像这类情节严重吗,积极退赔，可以是适当减轻处罚的。十万这个金额已经达到数额巨大，根据《刑法》第二百六十六条之规定，将可能被判处三年以上十年以下有期徒刑。
购房者的信息泄露怎么办,针对这一问题，新版购房合同进行了规定，增加了买受人信息保密条款，明确开发商对购房者信息负有保密义务。具体来说，非因法律、法规规定或国家安全机关、公安机关、检察机关、审判机关、纪检监察部门执行公务的需要，未经购房者书面同意，开发商及其销售人员和相关工作人员不得对外披露买购房者的信息，或将购房者信息用于履行本合同之外的其他用途。
总公司在美*被收购了，中*的分公司员工有没有补偿，（劳动合同会终止重签）,公司被收购，不影响你们劳动合同的履行。（正常进行合同，无补偿）。员工主动提出离职，无补偿。原公司要裁员，你们可以要求按照工作年限支付经济赔偿金。（每一年支付一个月工资，不满一年按一年计算，不满半年按半年计算）进入新公司后，过一段时间新公司裁员，那么新公司需要支付经济赔偿金。（每一年支付一个月工资，不满一年按一年计算，不满半年按半年计算，该计算时间为原公司和新公司服务的总时间）
我只有离婚协议书再婚可以直接领结婚证吗,签订离婚协议并不代表已经离婚的，需要办理离婚登记的，如果没有办理离婚登记的话，你们的婚姻关系还是存在，你此时是办不了结婚证的
通过中介看房，结果与房主私下交易有什么风险,"这样是构成违约的。。。如果签了看房协议,中介可以依据协议追究你的违约责任。"
离婚纠纷管辖权怎么确定,（一）一般情况下，根据*事诉讼法规定，离婚案件由被告住所地或者婚姻缔结地（通常指婚姻登记机关所在地）人*法院管辖。被告住所地与经常居住地不一致的，由经常居住地人*法院管辖。（二）以下情况由原告住所地人*法院管辖；原告住所地与经常居住地不一致的，由原告经常居住地人*法院管辖：（1）被告不在中*人*共*国领域内居住；（2）被告属下落不明或者宣告失踪；（3）被告被劳动教养；（4）被告被监禁；（5）被告均被注销城镇户口。
公司辞退工人怎么补偿，没有书面通知只有口头通知做了1年多，过了1年半,如果只是口头通知，那么不算离职的，你需要向劳*监*大*投诉
信用卡被起诉钱还完了，我交了一万块钱保证金取保候审，这一万还能拿回来吗？钱还完了为什么啊，给我，,结案后，就可以申请退还的。你先看一下结案没。正常情况下，是钱还完了，等着法院宣布结果，不是还完就没事了。
入室抢劫故意杀人该怎样判决,入室抢劫故意杀人，应该数罪并罚。依据刑法：第二百六十三条【抢劫罪】以暴力、胁迫或者其他方法抢劫公私财物的，处三年以上十年以下有期徒刑，并处罚金；有下列情形之一的，处十年以上有期徒刑、无期徒刑或者死刑，并处罚金或者没收财产：（一）入户抢劫的；（二）在公共交通工具上抢劫的；（三）抢劫银行或者其他金融机构的；（四）多次抢劫或者抢劫数额巨大的；（五）抢劫致人重伤、死亡的；（六）冒充军警人员抢劫的；（七）持枪抢劫的；（八）抢劫军用物资或者抢险、救灾、救济物资的。第二百三十二条【故意杀人罪】故意杀人的，处死刑、无期徒刑或者十年以上有期徒刑；情节较轻的，处三年以上十年以下有期徒刑。所以，入室抢劫故意杀人，应该判处死刑、无期徒刑、十年以上二十年以下有期徒刑中的一个。
酒驾110m取保候审法院还会判刑吗,取保候审的目的，就是等候审理，等候被判刑。只要血液酒精含量超过80，就构成危险驾驶罪，就必须被判刑。如果酒精含量不超过200，如果没有无证驾驶等从重情节，可以判处缓刑。
弟弟死亡哥哥可以继承他的房屋吗？如果政府要拆除有没有补偿,由其第一顺位继承人继承的，如果没有第一顺位继承人的话你才可以继承，第一顺位继承人是指父母子女配偶
